image_id,healthy,multiple_diseases,rust,scab
Test_0,0.17649634,0.17535393,0.47276896,0.17538084
Test_1,0.17667714,0.17622626,0.46712726,0.17996934
Test_2,0.17495166,0.17495166,0.17503138,0.4750653
Test_3,0.47533917,0.17488356,0.17488994,0.17488727
Test_4,0.17722261,0.17541817,0.47193983,0.17541932
Test_5,0.47531757,0.17488623,0.17490837,0.17488776
Test_6,0.47532684,0.17488548,0.17490052,0.17488709
Test_7,0.1748796,0.1748805,0.17488019,0.47535977
Test_8,0.17508467,0.17555195,0.17508043,0.47428292
Test_9,0.2900657,0.18852387,0.33280188,0.18860862
Test_10,0.21199514,0.20628183,0.37704632,0.2046767
Test_11,0.47487286,0.17496064,0.17520447,0.17496198
Test_12,0.32042164,0.1889744,0.18879431,0.30180967
Test_13,0.47475895,0.17503887,0.17505246,0.1751497
Test_14,0.175418,0.17515808,0.47431624,0.17510772
Test_15,0.17848596,0.17623506,0.46902335,0.17625569
Test_16,0.47298092,0.17525733,0.17649576,0.17526594
Test_17,0.17768908,0.1765026,0.17613693,0.46967143
Test_18,0.4752232,0.17490469,0.17491476,0.17495726
Test_19,0.17490625,0.17492238,0.47526157,0.17490986
Test_20,0.1885869,0.17813982,0.1779734,0.45529994
Test_21,0.47529173,0.17489196,0.17491996,0.17489637
Test_22,0.17489485,0.1748988,0.47531822,0.17488818
Test_23,0.1762825,0.1753695,0.17534441,0.4730036
Test_24,0.4738216,0.17513002,0.17591752,0.17513089
Test_25,0.4225749,0.18216036,0.18210793,0.21315679
Test_26,0.17495675,0.17499587,0.17500827,0.4750391
Test_27,0.18893312,0.17803259,0.45460752,0.17842674
Test_28,0.47528592,0.17489588,0.17489932,0.17491889
Test_29,0.3192257,0.19523981,0.251546,0.23398852
Test_30,0.4753542,0.17487986,0.17488146,0.17488445
Test_31,0.39355466,0.1859404,0.23032184,0.19018304
Test_32,0.34426552,0.18916716,0.1965697,0.26999763
Test_33,0.17607751,0.17548639,0.17684259,0.4715935
Test_34,0.17626716,0.17525612,0.17523244,0.47324422
Test_35,0.17490532,0.17488523,0.1748852,0.47532424
Test_36,0.17548993,0.17511481,0.47430477,0.17509052
Test_37,0.32855096,0.18886645,0.1886736,0.29390895
Test_38,0.17724644,0.17551132,0.17548609,0.4717562
Test_39,0.17859153,0.17585331,0.46931386,0.17624132
Test_40,0.17505808,0.17493755,0.47506148,0.17494296
Test_41,0.17594814,0.17523314,0.47367078,0.17514794
Test_42,0.20912549,0.18160103,0.18169527,0.4275782
Test_43,0.46961027,0.17581686,0.17876378,0.17580907
Test_44,0.4625799,0.17808528,0.18129641,0.17803834
Test_45,0.37132356,0.18740945,0.25264642,0.18862061
Test_46,0.30815747,0.18892853,0.18881181,0.31410217
Test_47,0.17488974,0.17488594,0.47533223,0.17489208
Test_48,0.17494944,0.17491762,0.47519878,0.1749342
Test_49,0.17801712,0.17578727,0.47025678,0.17593889
Test_50,0.255766,0.18692671,0.37022594,0.18708135
Test_51,0.17498264,0.17493688,0.4750378,0.1750427
Test_52,0.17961928,0.17847121,0.4560649,0.18584457
Test_53,0.17490332,0.17493854,0.47524518,0.17491296
Test_54,0.45313573,0.17824703,0.17867197,0.1899453
Test_55,0.19109188,0.17872249,0.17849608,0.4516895
Test_56,0.17504656,0.17497057,0.17493898,0.4750439
Test_57,0.4743738,0.17506923,0.17520721,0.17534974
Test_58,0.17491713,0.17490016,0.17490497,0.47527778
Test_59,0.18731147,0.1805217,0.44383192,0.18833487
Test_60,0.17511104,0.17493926,0.17493658,0.47501317
Test_61,0.4747659,0.17502812,0.17503737,0.1751686
Test_62,0.37653738,0.19258378,0.22515924,0.20571962
Test_63,0.2963703,0.1889672,0.18916115,0.32550132
Test_64,0.46681285,0.17621589,0.17994761,0.17702366
Test_65,0.17577359,0.1751992,0.47347042,0.17555676
Test_66,0.4753247,0.17488465,0.17490558,0.17488512
Test_67,0.17491412,0.17489412,0.4752916,0.17490007
Test_68,0.17489654,0.17488985,0.1749027,0.4753109
Test_69,0.17596117,0.17537308,0.47307172,0.17559403
Test_70,0.17488636,0.17488591,0.17490356,0.47532415
Test_71,0.18991067,0.17811401,0.45384344,0.17813197
Test_72,0.17532696,0.17505547,0.17500348,0.4746141
Test_73,0.47532618,0.174886,0.17489325,0.17489463
Test_74,0.47458604,0.17500536,0.17500891,0.17539969
Test_75,0.17541136,0.17529765,0.1752294,0.47406164
Test_76,0.47524336,0.17490427,0.17493047,0.17492181
Test_77,0.17998992,0.17662624,0.4670994,0.17628446
Test_78,0.24924554,0.18923315,0.19033618,0.3711851
Test_79,0.20116925,0.18667091,0.18224363,0.42991617
Test_80,0.19166194,0.20984526,0.32765093,0.27084193
Test_81,0.2286143,0.19155052,0.23902392,0.3408112
Test_82,0.17866594,0.17795977,0.18674316,0.45663124
Test_83,0.1766142,0.17624097,0.46840245,0.17874229
Test_84,0.47398096,0.17510387,0.17511503,0.17580011
Test_85,0.4711508,0.17558281,0.1760244,0.17724198
Test_86,0.17504042,0.17492421,0.47510904,0.17492631
Test_87,0.45625785,0.17885353,0.1836594,0.18122917
Test_88,0.19233271,0.18091315,0.18528287,0.44147125
Test_89,0.46983775,0.17613958,0.17611928,0.17790341
Test_90,0.17487977,0.17488076,0.47536057,0.17487898
Test_91,0.47508478,0.17495048,0.17496897,0.17499581
Test_92,0.47523314,0.1749024,0.17495312,0.17491134
Test_93,0.1749317,0.17493187,0.47523475,0.17490166
Test_94,0.17488848,0.17488427,0.17489329,0.47533405
Test_95,0.4752968,0.1748911,0.17489684,0.17491525
Test_96,0.1780422,0.17574051,0.17590232,0.470315
Test_97,0.47535777,0.17487948,0.1748831,0.17487961
Test_98,0.4752395,0.1749122,0.17492054,0.17492777
Test_99,0.18859097,0.17954394,0.18030204,0.4515631
Test_100,0.17488872,0.17488565,0.17488267,0.4753429
Test_101,0.46036652,0.17742766,0.17759526,0.18461053
Test_102,0.47269616,0.17555866,0.17596664,0.17577857
Test_103,0.17512403,0.1752744,0.17511065,0.47449088
Test_104,0.17487799,0.17487794,0.17487785,0.47536626
Test_105,0.17491208,0.17488886,0.17489634,0.4753027
Test_106,0.4753401,0.17488413,0.1748855,0.1748903
Test_107,0.18071872,0.17966598,0.44418067,0.19543457
Test_108,0.35026273,0.19008406,0.24821895,0.21143427
Test_109,0.43737647,0.1810958,0.19213797,0.1893897
Test_110,0.32062268,0.19137916,0.18982492,0.29817325
Test_111,0.47508854,0.17496033,0.17496209,0.17498906
Test_112,0.1755389,0.17602335,0.47153285,0.1769049
Test_113,0.17494802,0.17494787,0.17494436,0.4751598
Test_114,0.17893991,0.18208466,0.17716326,0.4618122
Test_115,0.18888243,0.19041678,0.36864713,0.25205365
Test_116,0.17537665,0.17524202,0.4736796,0.17570178
Test_117,0.17567806,0.176165,0.47110495,0.17705193
Test_118,0.17489389,0.1748881,0.47533396,0.17488411
Test_119,0.47462836,0.17518052,0.17510991,0.17508131
Test_120,0.17490608,0.17489606,0.47527966,0.17491817
Test_121,0.17847277,0.17578548,0.46993002,0.1758118
Test_122,0.17489314,0.17489854,0.47530884,0.17489947
Test_123,0.1749479,0.17499866,0.47511944,0.17493401
Test_124,0.17593715,0.17515834,0.17513168,0.4737728
Test_125,0.17491154,0.17492597,0.17489764,0.4752648
Test_126,0.4753357,0.17488292,0.17489842,0.174883
Test_127,0.44523507,0.17965461,0.1807655,0.1943449
Test_128,0.18010688,0.17792718,0.17752057,0.46444538
Test_129,0.1751644,0.1759683,0.47369447,0.17517279
Test_130,0.17489168,0.174908,0.17488876,0.4753116
Test_131,0.174892,0.17490004,0.1749039,0.4753041
Test_132,0.4753095,0.174887,0.17491643,0.17488709
Test_133,0.17532116,0.1754108,0.17513414,0.47413388
Test_134,0.17534135,0.17500013,0.17499635,0.47466207
Test_135,0.18100427,0.17772011,0.45714456,0.18413109
Test_136,0.17530099,0.1749861,0.1749967,0.47471625
Test_137,0.17488424,0.17488234,0.4753464,0.17488705
Test_138,0.18031196,0.1761898,0.46733025,0.17616801
Test_139,0.47535017,0.17488089,0.17488608,0.1748829
Test_140,0.23382038,0.19150005,0.25518945,0.31949008
Test_141,0.17615926,0.17518875,0.17518748,0.47346443
Test_142,0.46014857,0.17815873,0.17732714,0.1843655
Test_143,0.44022912,0.18037096,0.18008296,0.19931702
Test_144,0.47536153,0.17487878,0.17487934,0.17488037
Test_145,0.43441844,0.18071218,0.18078732,0.20408204
Test_146,0.175075,0.17493987,0.47503635,0.17494884
Test_147,0.17513123,0.17498177,0.47476453,0.17512245
Test_148,0.1916213,0.18245941,0.1803966,0.44552267
Test_149,0.22574773,0.1839484,0.40627325,0.18403068
Test_150,0.17493187,0.1749149,0.17490445,0.4752488
Test_151,0.17488344,0.1748828,0.4753528,0.17488092
Test_152,0.18060456,0.18074389,0.4442868,0.1943648
Test_153,0.17867005,0.17576973,0.17575188,0.4698083
Test_154,0.1754648,0.17506109,0.4742864,0.17518772
Test_155,0.17932405,0.17626387,0.46811005,0.17630202
Test_156,0.17509861,0.17515872,0.17563614,0.47410655
Test_157,0.19673818,0.18973981,0.2809575,0.33256453
Test_158,0.1749594,0.17490606,0.17490345,0.47523108
Test_159,0.19972292,0.18020205,0.43944013,0.18063483
Test_160,0.4746335,0.17500246,0.17503427,0.17532973
Test_161,0.1818547,0.17772172,0.1779057,0.46251792
Test_162,0.17881373,0.17585585,0.46935236,0.17597806
Test_163,0.19822502,0.18531425,0.21640633,0.4000544
Test_164,0.35678765,0.1890583,0.19210547,0.26204857
Test_165,0.17502221,0.17509767,0.17495537,0.4749248
Test_166,0.17490073,0.17488652,0.47532383,0.17488892
Test_167,0.3226757,0.18916771,0.29936168,0.1887949
Test_168,0.17552216,0.17504898,0.17505631,0.47437263
Test_169,0.34852067,0.18807547,0.2745705,0.18883339
Test_170,0.32440785,0.18912074,0.18996844,0.29650292
Test_171,0.17685351,0.17822772,0.464745,0.18017378
Test_172,0.17539881,0.17625582,0.473083,0.17526236
Test_173,0.17490226,0.17488776,0.4753235,0.17488655
Test_174,0.47376168,0.17515002,0.17528461,0.17580369
Test_175,0.4520698,0.17836754,0.17842218,0.19114049
Test_176,0.17543158,0.17509693,0.47408003,0.17539147
Test_177,0.4305253,0.18139035,0.18362914,0.20445526
Test_178,0.22441758,0.1839329,0.18408532,0.40756416
Test_179,0.1749168,0.1749053,0.47528127,0.17489654
Test_180,0.24132314,0.19650757,0.31558758,0.2465817
Test_181,0.17827256,0.17598234,0.17680234,0.4689428
Test_182,0.17576899,0.17552224,0.47274342,0.17596537
Test_183,0.47522962,0.1749022,0.17491776,0.17495044
Test_184,0.17826818,0.1793995,0.18171802,0.46061438
Test_185,0.17509237,0.1749607,0.17493667,0.4750103
Test_186,0.17496042,0.17497732,0.17491663,0.4751457
Test_187,0.17489289,0.17489041,0.47530502,0.17491172
Test_188,0.17493846,0.17490122,0.47525123,0.17490909
Test_189,0.47456992,0.17502767,0.17511989,0.17528245
Test_190,0.29737037,0.18944345,0.32321164,0.18997449
Test_191,0.17642376,0.17585042,0.47172022,0.17600569
Test_192,0.47498953,0.17495237,0.17510727,0.17495076
Test_193,0.1748889,0.17489584,0.4753163,0.17489894
Test_194,0.17848867,0.17670359,0.46734014,0.17746763
Test_195,0.47495952,0.17500742,0.17495807,0.17507495
Test_196,0.17493924,0.17489769,0.17489539,0.4752677
Test_197,0.1999659,0.1907547,0.34668007,0.26259935
Test_198,0.17495842,0.17490685,0.17490652,0.4752282
Test_199,0.45667607,0.17775282,0.17962097,0.18595022
Test_200,0.17505698,0.1749293,0.47508833,0.17492542
Test_201,0.17493674,0.17492321,0.17492194,0.47521815
Test_202,0.180795,0.18306234,0.44467688,0.1914658
Test_203,0.19085233,0.18485323,0.44099757,0.18329686
Test_204,0.17804992,0.175716,0.17593051,0.47030357
Test_205,0.4705647,0.17567842,0.17609344,0.17766349
Test_206,0.1899949,0.17818515,0.17818223,0.45363778
Test_207,0.2720461,0.1897707,0.33637974,0.20180352
Test_208,0.18091746,0.17656258,0.17638338,0.46613663
Test_209,0.17495055,0.17493989,0.47513688,0.17497271
Test_210,0.17620887,0.17534046,0.17546707,0.4729836
Test_211,0.43189535,0.18297087,0.20052536,0.1846085
Test_212,0.17503893,0.17491686,0.47512427,0.17491989
Test_213,0.37739658,0.2032513,0.21777193,0.20158017
Test_214,0.17628466,0.17520638,0.47330037,0.17520857
Test_215,0.47517863,0.17490977,0.17495649,0.17495508
Test_216,0.47535864,0.17487904,0.17488286,0.1748794
Test_217,0.17627162,0.17528147,0.17529105,0.4731559
Test_218,0.47534838,0.17488119,0.17488527,0.17488512
Test_219,0.17489459,0.17488298,0.47533938,0.17488302
Test_220,0.17488797,0.17490458,0.17488715,0.47532037
Test_221,0.47511986,0.17492585,0.1749286,0.17502564
Test_222,0.1749098,0.17492212,0.47524843,0.1749197
Test_223,0.17543866,0.17512822,0.47393286,0.17550033
Test_224,0.33626506,0.18920165,0.2844696,0.19006366
Test_225,0.46972224,0.1759438,0.17760278,0.17673114
Test_226,0.17495023,0.17497952,0.4749974,0.17507274
Test_227,0.1748988,0.17489204,0.1748866,0.47532254
Test_228,0.1754868,0.17505598,0.47441018,0.175047
Test_229,0.17559525,0.17725192,0.47165284,0.17549996
Test_230,0.47512865,0.17493224,0.1749803,0.1749588
Test_231,0.1842144,0.17733677,0.17789182,0.46055704
Test_232,0.4753623,0.17487852,0.1748803,0.17487884
Test_233,0.4737212,0.17514244,0.17514095,0.17599542
Test_234,0.17508101,0.17493393,0.17492883,0.4750562
Test_235,0.17554039,0.17552373,0.17514049,0.47379538
