image_id,healthy,multiple_diseases,rust,scab
Test_0,0.17488079,0.17488854,0.17488031,0.47535032
Test_1,0.1748817,0.17487887,0.17487867,0.47536078
Test_2,0.17487772,0.17487776,0.17487772,0.47536677
Test_3,0.1749458,0.17489447,0.1748941,0.4752656
Test_4,0.17488013,0.17488025,0.17487864,0.47536093
Test_5,0.17502628,0.17491244,0.17491297,0.47514835
Test_6,0.1748899,0.17489557,0.17488338,0.47533116
Test_7,0.174882,0.1748864,0.17488015,0.47535145
Test_8,0.17488243,0.1748788,0.17487882,0.47535998
Test_9,0.31158975,0.1897411,0.18890409,0.30976504
Test_10,0.19813313,0.17965516,0.17979383,0.4424178
Test_11,0.1982,0.1797059,0.17964949,0.4424445
Test_12,0.17490068,0.1749045,0.17488708,0.4753077
Test_13,0.17490804,0.17489831,0.17488737,0.47530627
Test_14,0.17487913,0.17488036,0.17487846,0.47536197
Test_15,0.17548253,0.17501827,0.17501795,0.47448128
Test_16,0.17553927,0.17506576,0.175037,0.47435802
Test_17,0.17487785,0.17487776,0.17487775,0.47536665
Test_18,0.175837,0.17513171,0.17510521,0.47392613
Test_19,0.22564161,0.18394239,0.18394771,0.40646833
Test_20,0.17488016,0.17488387,0.17487931,0.47535658
Test_21,0.18141933,0.17702278,0.17650105,0.46505684
Test_22,0.17488156,0.17488569,0.17487994,0.4753528
Test_23,0.17493315,0.17489241,0.17489107,0.47528338
Test_24,0.17528461,0.17499167,0.1749757,0.47474805
Test_25,0.1752894,0.17499107,0.17498109,0.47473848
Test_26,0.1748816,0.17488246,0.17487936,0.47535658
Test_27,0.17487916,0.17488211,0.17487884,0.47535992
Test_28,0.4638356,0.17665718,0.17777982,0.18172741
Test_29,0.17487812,0.17487788,0.17487782,0.47536618
Test_30,0.3821796,0.18596968,0.18597104,0.24587972
Test_31,0.17492175,0.17488828,0.17488798,0.47530195
Test_32,0.19707036,0.17944546,0.17952116,0.443963
Test_33,0.17487778,0.17487802,0.17487778,0.47536638
