image_id,healthy,multiple_diseases,rust,scab
Test_0,0.46990708,0.17670098,0.17609686,0.17729503
Test_1,0.18329214,0.17721182,0.17755654,0.46193954
Test_2,0.17488529,0.17488761,0.17488146,0.4753457
Test_3,0.47377115,0.17513667,0.1752357,0.17585649
Test_4,0.17966698,0.17652903,0.46769434,0.17610963
Test_5,0.47527558,0.1748925,0.17493814,0.1748939
Test_6,0.47471398,0.17498931,0.17499554,0.17530116
Test_7,0.17487797,0.1748784,0.1748779,0.47536573
Test_8,0.17582239,0.17551802,0.17519765,0.47346193
Test_9,0.47166526,0.17549585,0.1771873,0.17565158
Test_10,0.18479744,0.1772901,0.1772291,0.46068335
Test_11,0.45214215,0.17876136,0.17926642,0.18983003
Test_12,0.19040202,0.18111311,0.17961195,0.44887286
Test_13,0.29085213,0.18898635,0.18916555,0.33099598
Test_14,0.37989655,0.19318621,0.1907033,0.2362139
Test_15,0.36563295,0.1873236,0.18944019,0.2576032
Test_16,0.4747457,0.1749865,0.17522497,0.17504281
Test_17,0.17541218,0.17591281,0.17526166,0.4734133
Test_18,0.45850363,0.17747456,0.17769018,0.1863316
Test_19,0.20351435,0.27464908,0.200679,0.3211576
Test_20,0.46209285,0.17695878,0.17723642,0.18371193
Test_21,0.47532344,0.17488535,0.17488992,0.17490134
Test_22,0.3497142,0.20026016,0.25963318,0.19039254
Test_23,0.35151288,0.19153523,0.20735228,0.24959959
Test_24,0.47431505,0.1750582,0.17519972,0.175427
Test_25,0.17506057,0.17492127,0.1749202,0.4750979
Test_26,0.17574096,0.1781673,0.17572142,0.47037038
Test_27,0.26854405,0.24739785,0.28541324,0.1986449
Test_28,0.47422925,0.17511329,0.17511748,0.17554
Test_29,0.39530748,0.18910658,0.18989131,0.22569461
Test_30,0.47490996,0.17496291,0.1750591,0.17506814
Test_31,0.33305725,0.21280092,0.23811163,0.21603012
Test_32,0.39921927,0.18979956,0.18818946,0.22279176
Test_33,0.17494033,0.1749373,0.17491138,0.475211
Test_34,0.17738073,0.17564896,0.1755407,0.47142962
Test_35,0.17543808,0.17510751,0.17505062,0.47440383
Test_36,0.41806749,0.1833672,0.18507242,0.21349296
Test_37,0.1748854,0.17488256,0.17488015,0.4753519
Test_38,0.18100798,0.17676246,0.17726412,0.4649655
Test_39,0.45312682,0.1787335,0.18413816,0.18400154
Test_40,0.42704952,0.18587317,0.19894604,0.18813127
Test_41,0.4028744,0.18487616,0.22581008,0.18643934
Test_42,0.43093666,0.18117067,0.18127935,0.20661336
Test_43,0.3705454,0.18948963,0.19501987,0.24494503
Test_44,0.1923968,0.1818595,0.1798137,0.44593
Test_45,0.32498783,0.18979831,0.19281499,0.2923989
Test_46,0.20917265,0.18563466,0.18388999,0.42130277
Test_47,0.18127805,0.17948024,0.18340267,0.45583898
Test_48,0.18506849,0.17927288,0.17986757,0.4557911
Test_49,0.18181749,0.17787169,0.17771362,0.46259725
Test_50,0.22367533,0.22325547,0.26239643,0.29067278
Test_51,0.4504817,0.1789481,0.18492746,0.1856427
Test_52,0.17722647,0.17576955,0.17601897,0.470985
Test_53,0.30237252,0.19023353,0.20085911,0.30653483
Test_54,0.45817855,0.1775211,0.17827067,0.1860296
Test_55,0.18395452,0.1769953,0.17691493,0.46213526
Test_56,0.17495552,0.17490856,0.17490423,0.47523174
Test_57,0.2119446,0.18221909,0.18205445,0.42378187
Test_58,0.17504038,0.17496735,0.17493106,0.4750612
Test_59,0.18254256,0.1989414,0.1821189,0.43639714
Test_60,0.1777019,0.17879471,0.17634185,0.46716157
Test_61,0.2361085,0.18519132,0.18548667,0.3932135
Test_62,0.17514999,0.17518315,0.17499456,0.4746724
Test_63,0.4553919,0.17789109,0.17810795,0.18860905
Test_64,0.45601293,0.17834866,0.18716717,0.17847128
Test_65,0.3554821,0.18858032,0.19171661,0.26422095
Test_66,0.46943924,0.17590924,0.17638108,0.17827043
Test_67,0.3890983,0.1873366,0.20019442,0.22337069
Test_68,0.19119775,0.194976,0.18551794,0.42830828
Test_69,0.19031452,0.24873912,0.33983573,0.22111067
Test_70,0.17487895,0.17487878,0.17487821,0.47536412
Test_71,0.45320678,0.17840475,0.18372934,0.18465915
Test_72,0.24075752,0.18561551,0.18561734,0.38800964
Test_73,0.4492876,0.17919558,0.17898954,0.19252731
Test_74,0.35049194,0.18793784,0.18798836,0.2735819
Test_75,0.17735006,0.17595227,0.1758964,0.47080126
Test_76,0.47483307,0.17500299,0.17505495,0.17510901
Test_77,0.46586984,0.17691031,0.17682546,0.18039441
Test_78,0.22110799,0.19648822,0.18697089,0.39543292
Test_79,0.17773436,0.17686427,0.17585003,0.46955135
Test_80,0.22602002,0.24117695,0.20031135,0.33249173
Test_81,0.23658091,0.1888194,0.18995005,0.3846496
Test_82,0.17494223,0.17501631,0.17492788,0.47511363
Test_83,0.2670943,0.19194719,0.19169553,0.349263
Test_84,0.41183388,0.18369523,0.18340652,0.22106439
Test_85,0.43513414,0.18074617,0.181109,0.20301066
Test_86,0.33562186,0.25066394,0.19748111,0.21623312
Test_87,0.40521815,0.18595076,0.18950899,0.21932214
Test_88,0.17496842,0.17495434,0.17491394,0.47516334
Test_89,0.46813467,0.17605385,0.17727919,0.17853235
Test_90,0.19792621,0.19086713,0.19354552,0.4176611
Test_91,0.47529936,0.1748904,0.1748937,0.17491645
Test_92,0.4752748,0.17489856,0.17491658,0.17491004
Test_93,0.24129026,0.20104827,0.20562816,0.35203332
