image_id,healthy,multiple_diseases,rust,scab
Test_0,0.19395988,0.20764133,0.28121614,0.3171827
Test_1,0.18802889,0.24591273,0.20080929,0.36524907
Test_2,0.17492142,0.17506467,0.17492183,0.47509205
Test_3,0.18687862,0.37572977,0.2442872,0.1931044
Test_4,0.36674,0.21220227,0.21815486,0.20290284
Test_5,0.42268166,0.18828957,0.20475565,0.18427306
Test_6,0.39648712,0.19178003,0.20871253,0.2030204
Test_7,0.17529337,0.17666489,0.175291,0.47275072
Test_8,0.17556128,0.17780308,0.17561182,0.47102374
Test_9,0.45634815,0.17887902,0.18644339,0.17832941
Test_10,0.21033598,0.2082398,0.37335974,0.2080645
Test_11,0.45279515,0.18068753,0.18569796,0.1808194
Test_12,0.18938279,0.2538096,0.20573789,0.35106972
Test_13,0.3771992,0.19936524,0.23035784,0.19307771
Test_14,0.18905127,0.34986606,0.25881246,0.20227018
Test_15,0.19200237,0.25297844,0.24550895,0.3095102
Test_16,0.30245236,0.19744402,0.3085969,0.19150679
Test_17,0.17702915,0.18452555,0.17703204,0.4614133
Test_18,0.25820628,0.20983358,0.21724917,0.31471092
Test_19,0.29082102,0.21872936,0.21178041,0.2786692
Test_20,0.18051133,0.20061556,0.18261926,0.43625388
Test_21,0.18873416,0.21669464,0.39710897,0.19746225
Test_22,0.17968537,0.4430374,0.18837886,0.1888984
Test_23,0.1764514,0.18078373,0.17709118,0.46567366
Test_24,0.45226955,0.18478312,0.18258624,0.18036112
Test_25,0.26538584,0.19897114,0.19147922,0.34416378
Test_26,0.17982139,0.18652947,0.1797381,0.45391107
Test_27,0.19551522,0.25293192,0.27151448,0.28003836
Test_28,0.46449852,0.17766222,0.180807,0.17703229
Test_29,0.19582231,0.26606283,0.22340882,0.314706
Test_30,0.45312575,0.18529384,0.1815594,0.180021
Test_31,0.20228755,0.23738079,0.19607386,0.36425772
Test_32,0.29600424,0.20963132,0.20684175,0.28752267
Test_33,0.1780658,0.18969433,0.17806977,0.45417005
Test_34,0.25363833,0.20430182,0.19438992,0.34766993
Test_35,0.17599013,0.17972893,0.1760187,0.46826223
Test_36,0.19606563,0.29766813,0.25883147,0.24743477
Test_37,0.17786299,0.18844283,0.17817733,0.45551684
Test_38,0.18018343,0.20108159,0.18040362,0.43833143
Test_39,0.37464577,0.20626408,0.19611195,0.22297816
Test_40,0.22854137,0.21415786,0.2086734,0.34862736
Test_41,0.19229434,0.23640186,0.28525132,0.28605253
Test_42,0.17577979,0.17880003,0.17579742,0.46962285
Test_43,0.18448113,0.19982465,0.43447992,0.18121433
Test_44,0.35687858,0.19815357,0.19162323,0.25334457
Test_45,0.18754144,0.22381185,0.19588873,0.39275804
Test_46,0.27366546,0.25837722,0.22518873,0.24276865
Test_47,0.19127034,0.30296016,0.2870359,0.21873364
Test_48,0.19230182,0.25825712,0.22672985,0.3227112
Test_49,0.19044374,0.24260388,0.19370775,0.37324464
Test_50,0.3059434,0.20986465,0.19480802,0.28938392
Test_51,0.18477233,0.2244215,0.19053604,0.4002702
Test_52,0.17949936,0.19447172,0.18012434,0.44590455
Test_53,0.18706833,0.22376733,0.20931308,0.3798513
Test_54,0.40716884,0.19671255,0.20694113,0.18917745
Test_55,0.17602356,0.17976132,0.17617829,0.46803683
Test_56,0.17851508,0.18975681,0.18052143,0.45120662
Test_57,0.41912478,0.18637443,0.1870112,0.20748961
Test_58,0.17601544,0.17838109,0.17579857,0.4698049
Test_59,0.17563617,0.17820413,0.17563787,0.47052184
Test_60,0.17983468,0.19913766,0.17997779,0.44104987
Test_61,0.1891303,0.3557366,0.23927887,0.21585424
Test_62,0.26907152,0.21421082,0.19638413,0.3203335
Test_63,0.18939318,0.33622122,0.19486554,0.27952006
Test_64,0.17837338,0.18520202,0.45238152,0.18404306
Test_65,0.20193611,0.2455863,0.19931898,0.3531586
Test_66,0.4734645,0.17594393,0.17527664,0.17531496
Test_67,0.25621668,0.20044036,0.1935268,0.34981614
Test_68,0.182657,0.19110273,0.18515705,0.44108322
Test_69,0.19291198,0.25158548,0.22945051,0.326052
Test_70,0.18492357,0.19086742,0.20753133,0.41667774
Test_71,0.2944533,0.22395457,0.24227886,0.2393133
Test_72,0.27780938,0.21972181,0.20304397,0.29942483
Test_73,0.1950942,0.2257805,0.38324782,0.1958775
Test_74,0.45591143,0.18070975,0.18133803,0.18204077
Test_75,0.2131737,0.20671484,0.19060111,0.38951033
Test_76,0.21861544,0.21409634,0.24816975,0.3191185
Test_77,0.18771833,0.19773026,0.41580108,0.19875032
Test_78,0.17541835,0.17718412,0.17546833,0.4719291
Test_79,0.3475961,0.19734953,0.19073887,0.26431552
Test_80,0.17527317,0.17655139,0.1753218,0.4728537
Test_81,0.21731701,0.23304497,0.22321075,0.32642728
Test_82,0.17902946,0.19329451,0.17973311,0.44794294
Test_83,0.17756058,0.18585268,0.17780165,0.4587851
Test_84,0.27415788,0.20722999,0.19819655,0.32041562
Test_85,0.42678696,0.18724018,0.18872075,0.19725208
Test_86,0.2780873,0.2643269,0.20617542,0.2514104
Test_87,0.19708,0.20433992,0.18576556,0.41281447
Test_88,0.17522298,0.1763802,0.17522638,0.4731705
Test_89,0.18932642,0.21654446,0.39702806,0.19710103
Test_90,0.20225127,0.22005007,0.19908072,0.37861797
Test_91,0.4557625,0.1787964,0.18756542,0.17787568
Test_92,0.31046525,0.21081594,0.25973552,0.21898335
Test_93,0.2053416,0.27952984,0.27807805,0.23705047
Test_94,0.17497444,0.17529431,0.174975,0.47475627
Test_95,0.33042106,0.20457424,0.21514866,0.24985602
Test_96,0.18576814,0.19689769,0.20714048,0.4101937
Test_97,0.47275782,0.17555758,0.17589715,0.1757875
Test_98,0.3519,0.20457864,0.20400925,0.23951216
Test_99,0.18153289,0.20330499,0.1862006,0.42896155
Test_100,0.175113,0.17590153,0.17511311,0.47387236
Test_101,0.2034553,0.23077428,0.2384875,0.3272829
Test_102,0.18054442,0.19838104,0.18232575,0.43874887
Test_103,0.18894775,0.31830642,0.3020061,0.19073974
Test_104,0.17550133,0.17746733,0.17552193,0.47150946
Test_105,0.17601442,0.17888443,0.17630489,0.46879622
Test_106,0.1898859,0.34752998,0.23292768,0.22965647
Test_107,0.18993843,0.24654868,0.19815603,0.3653569
Test_108,0.17697369,0.1834653,0.17687815,0.4626828
Test_109,0.19698979,0.30964652,0.25000972,0.24335393
Test_110,0.17856443,0.191493,0.17932567,0.45061693
Test_111,0.36580896,0.20159853,0.1917223,0.24087018
Test_112,0.17535037,0.17677678,0.17533235,0.47254044
